recipe,ingredients
Digestive biscuit,"[wholemeal,tartaric acid,raising agent,malic acid,malt extract,salt,vegetable oil,whole wheat flour,sugar]"
Hinava,"[bird's eye chili,red onion,salt,fish,lime juice]"
Dabu-dabu,"[bird's eye chili,tomato sauce,shallots,chili peppers,calamansi]"
Miang kham,"[bird's eye chili,garlic,shallots,erythrina fusca,piper sarmentosum,coconut milk,lime (fruit),ginger]"
Rich tea,"[malt extract,vegetable oil,whole wheat flour,sugar]"
Sinigang,"[siling mahaba,vegetable,tomato sauce,meats,onions,fish sauce,tamarind]"
Pot-au-feu,"[vegetable,beef,turnip,onions,celery,bone marrow,cartilage]"
Collard liquor,"[vegetable,pork,turnip,mustard plant,turkey]"
Sai bhaji,"[vegetable,spinach,dal]"
Sabzi polo,"[vegetable,fenugreek,herbs,scallions,spinach,cilantro]"
Ukha,"[vegetable,potatoes,fish,cod,leek,salmon]"
Ghormeh sabzi,"[vegetable,fenugreek,herbs,scallions,cilantro]"
Vichyssoise,"[vegetable,potatoes,chicken,onions,heavy cream]"
Stamppot,"[vegetable,potatoes,fruit]"
Subgum,"[vegetable,meats,seafood]"
Bacon Deluxe,"[vegetable,beef,buns,cheddar cheese,bacon]"
Cao lầu,"[vegetable,pork,noodles]"
Fattoush,"[vegetable,pita]"
Chanakhi,"[vegetable,garlic,potatoes,lamb and mutton,tomato sauce,aubergine]"
Ogbono soup,"[vegetable,seasoning,oil,meats,ogbono,celosia]"
Hot pot,"[vegetable,dumpling,edible mushroom,meats,seafood]"
Efo riro,"[vegetable,seasoning,oil,meats]"
Callaloo,"[vegetable,taro,xanthosoma]"
Zakuski,"[vegetable,brown bread,cheddar cheese,cold cuts,cured fish,caviar,salads,pirozhki,open sandwich,canapé,kholodets (dish)]"
Stew,"[vegetable,water,potatoes,wine,tomato sauce,meats,onions,beans,capsicum annuum,beer,stock]"
Soup joumou,"[vegetable,beef,potatoes,pumpkin]"
Yakisoba,"[vegetable,pork,onions,carrots,worcestershire sauce,noodles]"
Wat (food),"[vegetable,beef,niter kibbeh,lamb and mutton,spices,meats]"
Shabu-shabu,"[vegetable,meats,tofu]"
Sancocho,"[vegetable,broth,meats,platano,yuca]"
Sinseollo,"[vegetable,broth,mushrooms,jeonyueo,meatball]"
Scotch broth,"[vegetable,beef,lamb and mutton,barley,pulse (legume),rutabaga]"
Sukiyaki,"[vegetable,soy sauce,meats,mirin,sugar]"
Yeonpotang,"[vegetable,octopus,napa cabbage,broth]"
Thenthuk,"[vegetable,meats,whole wheat flour,yak]"
Thai curry,"[vegetable,herbs,curry,fruit,meats,coconut milk,seafood]"
Soyo (Paraguay),"[vegetable,spices,meats]"
Sagamite,"[vegetable,brown sugar,smoked fish,beans,hominy,wild rice,indian corn]"
Salade niçoise,"[vegetable,anchovy,tuna]"
Sambar (dish),"[vegetable,lentils,tamarind]"
Spring soup,"[vegetable,broth,asparagus,chowder,bisque]"
Taco,"[vegetable,corn tortilla,meats,cheddar cheese]"
Soup,"[vegetable,liquid,fruit juice,meats]"
Sliced fish soup,"[vegetable,fish,prawns]"
Theeyal,"[vegetable,fenugreek,coconut milk,chili peppers,tamarind,coriander]"
Sope,"[vegetable,meats,onions,lettuce,cheddar cheese,refried beans,green,salsa roja]"
Chankonabe,"[vegetable,dashi,fish,chicken,bok choy,mirin,sake]"
Maeuntang,"[vegetable,fish,gochujang]"
Ciorbă,"[vegetable,water,spices,borș (bran)]"
Pörkölt,"[vegetable,paprika,meats]"
Bagel toast,"[vegetable,bagel,cheddar cheese]"
Hodge-Podge (soup),"[vegetable,lamb and mutton,meats]"
Batchoy,"[vegetable,beef,pork,chicken,dried shrimp,noodles]"
Kadhi chawal,"[vegetable,rice,water,list of indian spices,yogurt,chickpea flour]"
Kaipen,"[vegetable,sesame seeds,green algae]"
Aush,"[vegetable,broth,strained yogurt,noodles]"
Fasolada,"[vegetable,common beans,olive oil]"
Ohaw,"[vegetable,fish,meats,stock,kelp]"
Gopchang jeongol,"[vegetable,seasoning,tripe,broth]"
Ollada,"[vegetable,artichoke,legume,kidney bean,carrots]"
Makguksu,"[vegetable,broth,noodles]"
Minestrone,"[vegetable,rice,pasta,tomato sauce,onions,celery,stock,carrots]"
Chả giò,"[vegetable,edible mushroom,kohlrabi,rice paper,cellophane noodles,ground pork,jicama]"
Cappon magro,"[vegetable,seafood,hard tack]"
Lumpia,"[vegetable,meats,crêpe]"
Goulash,"[vegetable,paprika,spices,meats,noodles]"
Obara,"[vegetable,meats,intestine]"
Ribollita,"[vegetable,brown bread,cannellini beans]"
Jeongol,"[vegetable,beef,seasoning,broth,mushrooms]"
Bosintang,"[vegetable,spices,dog meat,agastache rugosa,perilla,gochujang,dandelion]"
Dimlama,"[vegetable,beef,potatoes,fruit,meats,veal,onions]"
Mulligan stew (food),"[vegetable,potatoes,meats]"
Brunswick stew,"[vegetable,maize,tomato sauce,meats,okra,lima bean]"
Jeon (food),"[vegetable,batter (cooking),poultry,meats,seafood]"
Karedok,"[vegetable,krupuk,peanut sauce]"
Locro,"[vegetable,beef,chorizo,meats,potatos]"
Cashew chicken,"[vegetable,soy sauce,chicken,oyster sauce,cashew nut]"
Bean salad,"[vegetable,onions,beans,kidney bean,garbanzo,wax bean,bell peppers]"
Mannish water,"[vegetable,potatoes,dumpling,saba banana,yam (vegetable),goat]"
Bosnian Pot,"[vegetable,garlic,potatoes,lamb and mutton,black pepper,tomato sauce,meats,parsley,carrots]"
Molagoottal,"[vegetable,spinach,drumstick (poultry),yam (vegetable),sea cucumber]"
Croquette,"[vegetable,fish,mashed potato,brown sauce,ground meat,cheddar cheese,shellfish,bechamel sauce]"
Pot pie,"[vegetable,turkey meat,lamb and mutton,pea,chicken,meats,green bean,gravy,carrots]"
Doenjang jjigae,"[vegetable,dubu,doenjang,seafood]"
Jiaozi,"[vegetable,dough,ground meat]"
Beef noodle soup,"[vegetable,beef,chinese noodles]"
Quiche,"[vegetable,custard,meats,cheddar cheese,seafood]"
Jambalaya,"[vegetable,rice,meats,stock]"
Gỏi cuốn,"[vegetable,pork,bánh tráng,prawns,rice vermicelli]"
Fish soup,"[vegetable,liquid,fish,fruit juice,seafood]"
Jjigae,"[vegetable,broth,meats,seafood]"
Jajangmyeon,"[vegetable,pork,seafood]"
Pottage,"[vegetable,grain,fish,meats]"
Mute (soup),"[vegetable,acorn,beef,potatoes,pork]"
Milmyeon,"[vegetable,potatoes,broth,sweet potato,noodles]"
Dressed herring,"[vegetable,beet root,herring,onions,mayonnaise,carrots]"
Rasol (Romanian dish),"[vegetable,beef,potatoes,pork,tomato sauce,meats,onions]"
Kuzhambu,"[vegetable,lentils,tamarind]"
Fruit preserves,"[vegetable,honey,fruit,pectin,sugar]"
Pasta primavera,"[vegetable,olive oil,pasta,soffritto]"
Lard na,"[vegetable,beef,pork,chicken,shahe fen,volvariella volvacea,tofu,broccoli]"
Ajethna,"[vegetable,beet root,snake gourd,bitter gourd,french beans]"
Malabar Matthi Curry,"[vegetable,rice,curry,onions,brown bread,tapioca,naan,sardines]"
Jalfrezi,"[vegetable,meats,heavy cream,chili peppers,seafood]"
Fisherman's soup,"[vegetable,fish,paprika,tomato sauce,bell peppers]"
Kare-kare,"[vegetable,oxtail,peanut sauce]"
Gamja ongsimi,"[vegetable,dumpling,broth]"
Potée,"[vegetable,potatoes,pork]"
Philadelphia Pepper Pot,"[vegetable,seasoning,tripe]"
Crudités,"[vegetable,vinaigrette,dip]"
Potjiekos,"[vegetable,potatoes,cauliflower,meats,beer,carrots,dessert wine]"
Booyah (stew),"[vegetable,seasoning,potatoes,pork,chicken,meats,onions,celery,peas]"
Olla podrida,"[vegetable,meats,pork and beans]"
Kadhi,"[vegetable,water,yogurt,chickpea flour]"
Kabsa,"[vegetable,rice,black lime,cinnamon,spices,nutmeg,meats,basmati,saffron,bay leaf]"
Hōtō,"[vegetable,miso soup,udon]"
Pilaf,"[vegetable,rice,fish,spices,meats,dried fruits]"
Gulyásleves,"[vegetable,beef,paprika,spices]"
Hachee,"[vegetable,fish,poultry,meats]"
Bruschetta,"[vegetable,garlic,olive oil,tomato sauce,brown bread,beans,cheddar cheese,curing (food preservation)]"
Bouillon (broth),"[vegetable,beef,herbs,poultry,veal,mirepoix (cuisine),dried shrimp]"
Japchae,"[vegetable,edible mushroom,spinach,onions,sesame oil,cellophane noodles]"
Butajiru,"[vegetable,pork,miso]"
Haejangguk,"[vegetable,congeal,napa cabbage,broth]"
Kig ha farz,"[pudding,broth,meats]"
Dirt cake,"[pudding,gummy candy,cream cheese,oreo]"
Doberge cake,"[pudding,butter cream,cake]"
Shawarma,"[turkey meat,beef,pita,lamb and mutton,chicken,falafel,wrap (sandwich)]"
Club sandwich,"[turkey meat,tomato sauce,chicken,lettuce,mayonnaise,toast,bacon]"
Vatapá,"[palm oil,peanut oil,brown bread,coconut milk,dried shrimp]"
Nutella,"[palm oil,hazelnut,powdered milk,cocoa solids,sugar]"
Ferrero Rocher,"[palm oil,hazelnut,whole wheat flour,white chocolate,sugar]"
Torte,"[butter cream,jam,mousse]"
Sans rival,"[butter cream,meringue,cashew nut]"
Joffre cake,"[butter cream,buttermilk,white chocolate]"
Dacquoise,"[butter cream,hazelnut,meringue,whipped cream]"
Dobos torte,"[butter cream,sponge cake,caramel]"
Bienenstich,"[butter cream,vanilla,yeast,heavy cream,almond meal]"
Winter ice cream,"[butter cream,wafer,ganache,compound chocolate,white chocolate]"
Frankfurter Kranz,"[butter cream,brittle,strawberry jam,hazelnut,sponge cake,black currant,almond meal,cherry]"
Zuger Kirschtorte,"[butter cream,hazelnut,sponge cake,meringue,kirschwasser]"
Neenish tart,"[butter cream,pastry,icing sugar,gelatine]"
Dock Pudding,"[persicaria bistorta,urtica dioica,onions,goat meat]"
Dolma,"[vitis,stuffed peppers,rice]"
Sirutteok,"[starch,azuki bean,glutinous rice flour,sesame oil,whole wheat flour,mung bean]"
Bamiyeh,"[starch,yogurt,syrup]"
Kappa Ebisen,"[starch,vegetable oil,whole wheat flour,dried shrimp,sugar]"
Akanés,"[starch,peanut butter,sugar]"
Acorn noodle soup,"[starch,acorn,buckwheat,whole wheat flour]"
Nonpareils,"[starch,food colouring,sugar]"
Jelly bean,"[starch,corn syrup,sugar]"
Cellophane noodles,"[starch,cassava,potato starch,yam (vegetable),canna (plant),batata]"
Chipa,"[acorn,cassava,cheddar cheese]"
Kettle corn,"[acorn,edible salt,cooking oil,sugar]"
Fish chowder,"[acorn,potatoes,fish,cod,onions,celery,carrots,bacon]"
Sheep sorrel soup,"[acorn,water,salt,sheep's sorrel]"
Torta Tre Monti,"[wafer,hazelnut,white chocolate]"
Dominostein,"[lebkuchen,persipan,apricot jam,marzipan,sour cherry,white chocolate]"
Stip (dish),"[buckwheat,syrup,bacon]"
Jatguksu,"[buckwheat,broth,noodles]"
Ploye,"[buckwheat,water,baking powder,whole wheat flour]"
Buckwheat gateau,"[buckwheat,honey,whipped cream,yoghurt,cranberry,white chocolate]"
Naengmyeon,"[buckwheat,potatoes,sweet potato,noodles]"
Pizzoccheri,"[buckwheat,water,whole wheat flour]"
Wodzionka,"[staling,peanut butter,lard]"
Dongchimi,"[pyrus pyrifolia,scallions,radish,chili peppers,chinese cabbage,ginger]"
Sukhdi,"[jaggery,ghee,whole wheat flour]"
Unni appam,"[jaggery,rice,ghee,saba banana,sugar]"
Thekua,"[jaggery,ghee,sugar syrup,whole wheat flour,cardamom]"
Sandesh (confectionery),"[jaggery,paneer,sweetened condensed milk,sugar]"
Laapsi,"[jaggery,nut (fruit),ghee,raisins,dried fruits]"
Poornalu,"[jaggery,rice flour,dal,dried fruits]"
Kalathappam,"[jaggery,rice flour,shallots,coconut milk,cashew nut]"
Kora Khai,"[jaggery,coconut milk,cardamom]"
Dodol,"[jaggery,rice flour,coconut milk]"
Kalu dodol,"[jaggery,rice flour,coconut milk]"
Podo pitha,"[jaggery,rice,coconut milk,black gram]"
Chakka prathaman,"[jaggery,ghee,jackfruit,sugar]"
Modak,"[jaggery,rice flour,maida flour,coconut milk,whole wheat flour]"
Anarsa,"[jaggery,rice,ghee,poppy seed]"
Kamarcut,"[jaggery,water,sugar]"
Dhondas,"[jaggery,semolina,coconut milk,sea cucumber,jackfruit]"
Kobbari Lavuju,"[jaggery,spices,coconut milk,sugar]"
Pachi Pulusu,"[jaggery,onions,chili peppers,tamarind]"
Enduri Pitha,"[jaggery,rice flour,black pepper,coconut milk,black gram,turmeric powder]"
Ariselu,"[jaggery,rice flour,ghee]"
Pootharekulu,"[jaggery,rice,ghee,powdered sugar]"
Kansar,"[jaggery,ghee,wheat]"
Manda Pitha,"[jaggery,rice flour,black pepper,coconut milk,chhena]"
Karadantu,"[jaggery,semecarpus anacardium,dried fruits,bengal gram]"
Ada (food),"[jaggery,rice flour,coconut milk,sugar]"
Churma,"[jaggery,ghee,wheat,bajri]"
Neyyappam,"[jaggery,rice flour,ghee,coconut milk]"
Draw soup,"[ewedu,pepita,okra]"
Sel roti,"[rice flour,water,cloves,peanut butter,cardamom,sugar]"
Serabi,"[rice flour,coconut milk]"
White sugar sponge cake,"[rice flour,water,leavening agent,sugar]"
Yubeshi,"[rice flour,sticky rice,soy sauce,walnuts,yuzu,sugar]"
Yatsuhashi,"[rice flour,cinnamon,sugar]"
Song gao,"[rice flour,water,azuki,sugar]"
Suama,"[rice flour,water,food colouring,sugar]"
Baekseolgi,"[rice flour,salt,sugar]"
Espasol,"[rice flour,coconut milk]"
Malpua,"[rice flour,plain flour,coconut milk,sugar]"
Kutsinta,"[rice flour,brown sugar,lye,coconut milk]"
Chippi appam,"[rice flour,curry,oyster]"
Bánh bò,"[rice flour,water,baker's yeast,coconut milk,sugar]"
Kue lapis,"[rice flour,coconut milk,sugar]"
Karukan,"[rice flour,water,red bean paste,sugar]"
Chandrakanti,"[rice flour,ghee,green gram,sugar]"
Khanom thuai,"[rice flour,coconut milk,sugar]"
Jala (kuih),"[rice flour,cooking oil,palm sugar]"
Cincin,"[rice flour,water,cooking oil,palm sugar,red palm,sugar]"
Rempeyek,"[rice flour,anchovy,peanut oil,coconut milk,dried shrimp]"
Chongyang Cake,"[rice flour,almond meal,jujube,chestnuts]"
Chakli,"[rice flour,black gram,bengal gram]"
Bánh tráng,"[rice flour,spices,tapioca]"
Bánh,"[rice flour,glutinous rice flour,tapioca,whole wheat flour]"
Cascaron,"[rice flour,coconut milk,sugar]"
Chakuli pitha,"[rice flour,salt,ghee,black gram,mustard oil]"
Pinjaram,"[rice flour,corn starch,cooking oil,coconut milk]"
Kue putu mangkok,"[rice flour,peanut oil,glutinous rice flour,coconut milk,sugar]"
Cendol,"[rice flour,shaved ice,coconut milk,palm sugar]"
Bánh da lợn,"[rice flour,tapioca,coconut milk,mung bean,taro,durian,sugar]"
Bibingka,"[rice flour,water,coconut milk]"
Affogato,"[espresso,ice cream,gelato]"
S.O.S. (appetizer),"[herring,peanut butter,cheddar cheese]"
Spaghettieis,"[ice cream,strawberry jam,whipped cream]"
Zuccotto,"[ice cream,brandy,cake]"
Tin roof pie,"[ice cream,corn flakes,peanut oil,corn syrup,chocolate syrup]"
Spumoni,"[ice cream,nut (fruit),candied fruit]"
Mochi ice cream,"[ice cream,mochi,powdered sugar]"
Baked Alaska,"[ice cream,sponge cake,christmas pudding,meringue]"
Profiterole,"[ice cream,custard,whipped cream,choux pastry]"
Ice cream float,"[ice cream,soft drink,carbonated water,syrup]"
Shrimp roe noodles,"[monosodium glutamate,salt,tapioca flour,dried shrimp]"
Drokpa Katsa,"[monosodium glutamate,curry,tripe,fennel]"
Lunggoi Katsa,"[monosodium glutamate,curry,fennel,sheep]"
Drunken noodles,"[holy basil,garlic,soy sauce,meats,bean sprouts,shahe fen,chili peppers,tofu,fish sauce,seafood]"
Tiffin (confectionery),"[cocoa powder,biscuit,syrup,raisins,sugar]"
Chocolate syrup,"[cocoa powder,water,sugar]"
Sevpuri,"[chutney,potatoes,onions,sev,puri]"
Devils on horseback,"[chutney,dried fruits,bacon]"
Aloo chaat,"[chutney,potatoes,spices]"
Salchipapas,"[french fries,sauces,sausage,mayonnaise,chili peppers]"
Chip butty,"[french fries,sauces,brown bread,bread roll]"
Carne asada fries,"[french fries,cheddar cheese,sour cream,carne asada,guacamole]"
Bisteck a la chorrillana,"[french fries,beef,salt,spices,onions]"
Polish Boy,"[french fries,bun,kielbasa,barbecue sauce,cole slaw,hot sauce]"
Chorrillana,"[french fries,beef,salt,spices,onions]"
Mitraillette,"[french fries,meats,brown bread]"
Poutine,"[french fries,cheese curds,gravy]"
Gatsby (sandwich),"[french fries,fish,vienna sausage,calamari,sauces,chicken,meats,bologna sausage,bread roll,seafood]"
Hot hamburger plate,"[french fries,brown bread,hamburger]"
Kapsalon,"[french fries,döner kebab,gouda cheese,shawarma]"
Halal snack pack,"[french fries,doner kebab,sauces,cheddar cheese]"
Shahi Haleeb,"[evaporated milk,cloves,black tea,sweetened condensed milk,cardamom,sugar]"
Tres leches cake,"[evaporated milk,heavy cream,sweetened condensed milk]"
Gypsy tart,"[evaporated milk,pastry,muscovado sugar,brown sugar,sweetened condensed milk]"
Mango pudding,"[evaporated milk,agar,gelatine,mango,sugar]"
Kakigōri,"[evaporated milk,ice,syrup,sweetened condensed milk]"
Papa a la Huancaína,"[evaporated milk,salt,potatoes,vegetable oil,queso fresco,aji pepper]"
Habichuelas con dulce,"[evaporated milk,cinnamon,nutmeg,peanut butter,kidney bean,raisins,coconut milk,sugar]"
Red bean ice,"[evaporated milk,azuki bean,rock candy]"
Hishi mochi,"[mochi,gnaphalium affine,water caltrop,gardenia jasminoides]"
Hanabiramochi,"[mochi,gyūhi,arctium lappa,miso]"
Kusa mochi,"[mochi,red bean paste,yomogi]"
Paratha,"[stuffing,maida flour,atta flour,ghee,peanut butter,cooking oil]"
Empire biscuit,"[glace cherry,icing,jam]"
Manok pansoh,"[red onion,garlic,chicken,ginger]"
Encebollado,"[red onion,albacore,billfish,cassava,tuna]"
Kelan Antep,"[red onion,water,garlic,lamb and mutton,meats,sour,cayenne pepper,galangal,goat,bay leaf]"
Pâté chinois,"[beef,maize,mashed potato,onions,creamed corn]"
Taco soup,"[beef,maize,tomato sauce,onions,beans,olives,taco]"
Mataz,"[beef,garlic,lamb and mutton,onions,cheddar cheese,mushrooms]"
Stovies,"[beef,potatoes,onions]"
Nikujaga,"[beef,potatoes,pork,soy sauce,meats,onions]"
Bakso,"[beef,tapioca,celery,rice vermicelli,noodles]"
Beef on weck,"[beef,horseradish tree,au jus,kaiser roll]"
Bauru (sandwich),"[beef,tomato sauce,pickled cucumber,bun,cheddar cheese]"
Reuben sandwich,"[beef,rye bread,sauerkraut,swiss cheese]"
Cincinnati chili,"[beef,spices,cloves,tomato paste,white chocolate,allspice]"
Harput meatballs,"[beef,spices,parsley,tomato paste]"
Tavern sandwich,"[beef,onions,bun]"
Mulukhiyah,"[beef,chicken,okra leaf]"
Ndolé,"[beef,fish,nut (fruit),ndoleh]"
Johnny Marzetti,"[beef,pasta,tomatoes]"
Beef Wellington,"[beef,puff pastry,pâté]"
Melt sandwich,"[beef,turkey,chicken,brown bread,ham,hamburger patty,cheddar cheese,tuna]"
Alcapurria,"[beef,achiote,eddoe,saba banana]"
Corned beef pie,"[beef,potatoes,onions]"
Corned beef sandwich,"[beef,brown bread,pickled cucumber,mustard (condiment)]"
French dip,"[beef,au jus,baguette]"
Sloppy joe,"[beef,onions,ketchup,worcestershire sauce]"
Tochitură,"[beef,pork,tomato sauce]"
İnegöl meatballs,"[beef,meats,onions,bread crumbs]"
Ćevapi,"[beef,pork,meats,onions,somun]"
Samosa,"[beef,potatoes,maida flour,pea,spices,meats,onions,cheddar cheese,chili peppers]"
Vetkoek,"[beef,honey,dough,syrup]"
Wrap roti,"[beef,potatoes,chicken,duck,dried shrimp,goat,conch]"
Salată de boeuf,"[beef,chicken,mayonnaise,carrots,murături,green peas]"
Semur (Indonesian stew),"[beef,cinnamon,nutmeg,shallots,kecap manis,cloves]"
Tteokguk,"[beef,pork,soy sauce,chicken,seafood,pheasant,garaetteok]"
Sop saudara,"[beef,cinnamon,nutmeg,galangal,lemon grass,rice vermicelli,perkedel,buffalo meat,ginger]"
Slavink,"[beef,pork,vegetable oil,peanut butter,bacon]"
Taquito,"[beef,corn tortilla,chicken]"
Steak and kidney pie,"[beef,onions,kidney,brown gravy]"
Skomakarlåda,"[beef,mashed potato,gravy,leek,bacon]"
Tourtière,"[beef,pork,veal]"
Salteñas,"[beef,pork,chicken]"
Hallaca,"[beef,cassava,pork,caper,chicken,raisins,olives,corn meal]"
Kharcho,"[beef,rice,pork,lamb and mutton,chicken,walnuts,goose,cherry plum]"
Gyūdon,"[beef,rice,onions]"
Fricot,"[beef,potatoes,pork,dumpling,rabbit,meats,onions,clam]"
Cachupa,"[beef,fish,chicken,meats,beans,goat meat]"
Pabellón criollo,"[beef,rice,beans]"
Motsunabe,"[beef,garlic,pork,soy sauce,champon,chili peppers,miso]"
Güveç (dish),"[beef,herbs,spices,olive (fruit),edible mushroom,tomato sauce,onions]"
Mie aceh,"[beef,spices,scallions,meats,shallots,celery,seafood,noodles]"
Kwetiau goreng,"[beef,prawns,crab]"
Pho,"[beef,rice noodles,chicken]"
Cottage pie,"[beef,mashed potato,lamb and mutton]"
Bratwurst,"[beef,pork,meats]"
Feijoada,"[beef,common beans,pork]"
Mititei,"[beef,garlic,pork,lamb and mutton,black pepper,onions,sodium bicarbonate,thyme,coriander]"
Doner kebab,"[beef,lamb and mutton,chicken]"
Baeckeoffe,"[beef,potatoes,pork,lamb and mutton,onions,white wine,juniper berry]"
Khinkali,"[beef,garlic,herbs,potatoes,pork,lamb and mutton,edible mushroom,onions]"
Katogo (food),"[beef,matoke,beans,offal]"
Gyro (food),"[beef,pork,lamb and mutton,chicken,veal]"
Carbonade flamande,"[beef,onions,beer,thyme,bay leaf]"
Kho (cooking technique),"[beef,coconut milk,fish sauce,sugar]"
Pâté chaud,"[beef,pork,chicken]"
Janchi guksu,"[beef,broth,noodles]"
Goetta,"[beef,pork,pinhead oats]"
Dry meatballs,"[beef,garlic,meats,onions]"
Pljeskavica,"[beef,pork,lamb and mutton,veal,onions]"
Beef bourguignon,"[beef,garlic,edible mushroom,onions,bouquet garni,red wine,pearl onion]"
Feu (food),"[beef,rice noodles,pork,chicken,seafood]"
Karelian hot pot,"[beef,lamb and mutton,black pepper,meats]"
Nikuman,"[beef,pork,dough]"
Natchitoches meat pie,"[beef,garlic,pork,oil,onions,capsicum annuum]"
Chairo (stew),"[beef,potatoes,wheat,onions,carrots,chuño]"
Caldo de costilla,"[beef,water,garlic,potatoes,onions,cilantro]"
Larb,"[beef,fish,pork,turkey,meats,duck]"
Bollito Misto,"[beef,chicken,veal,capon,cotechino]"
Frikadeller,"[beef,fish,pork,lamb and mutton,veal]"
Pepperette,"[beef,pork,spices,ground meat]"
Mì Quảng,"[beef,rice noodles,pork,chicken,dried shrimp,turmeric powder]"
Chicago-style hot dog,"[beef,poppy seed,tomato sauce,mustard (condiment),kosher dill pickle,white onion,celery salt,sport pepper,chicago-style relish]"
Mie kocok,"[beef,scallions,shallots,bean sprouts,bakso,tendon as food,noodles]"
Giouvetsi,"[beef,lamb and mutton,pasta,tomato sauce,meats,tea leaves]"
Kibbeh nayyeh,"[beef,bulgur,lamb and mutton,spices]"
Meat and potato pie,"[beef,potatoes,lamb and mutton,onions,carrots]"
American goulash,"[beef,paprika,pasta,steak,tomato sauce]"
Rat na,"[beef,pork,soy sauce,chicken,corn starch,shahe fen,tapioca,stock,tofu,fish sauce,seafood]"
Chunchullo,"[beef,pork,lamb and mutton]"
Tongba,"[millet,water,yeast]"
Ngome (bread),"[millet,water,vegetable oil]"
Aila (liquor),"[millet,rice,grain]"
Ogi (food),"[millet,maize,sorghum]"
Ogokbap,"[millet,rice,grain,soy bean,foxtail millet]"
Groat (grain),"[millet,wheat,oat,barley,rye]"
Mieum (food),"[millet,rice,water]"
Funkaso,"[millet,peanut butter,sugar]"
Kasha,"[millet,wheat,barley,cereal germ,rye,oats]"
Es buah,"[honeydew (melon),pineapple,syrup,papaya]"
Es campur,"[ice,grass jelly,fruit,syrup,coconut milk,sweetened condensed milk]"
Zarda (food),"[rice,pistachios,saffron,raisins,almond meal,cardamom]"
Sulu köfte,"[rice,spices,broth,ground meat]"
Spam musubi,"[rice,soy sauce,nori,spam]"
Sholezard,"[rice,pistachios,coffee,saffron,rose water]"
Shrimp Creole,"[rice,tomato sauce,onions,celery,dried shrimp,bell peppers]"
Sutarfeni,"[rice,nut (fruit),wheat]"
Soylent (food),"[rice,oat,goat meat,corn syrup,maltodextrin,isomaltulose,dutch process chocolate,canola oil,isomaltooligosaccharide,coffee powder,soy protein]"
Zerde,"[rice,pistachios,saffron,raisins,sugar]"
Tapai,"[rice,cassava,glutinous rice flour]"
Stuffed squash,"[rice,zucchini,ground meat]"
Waakye,"[rice,beans,tea leaves]"
Hoppin' John,"[rice,black-eyed peas,bacon]"
Mansaf,"[rice,bulgur,lamb and mutton,jameed,melilotus]"
Khichdi,"[rice,spices,lentils]"
Karelian pasty,"[rice,peanut butter,whole wheat flour,rye]"
Kabuni,"[rice,cinnamon,cloves,peanut butter,raisins,sugar]"
Kamby arro,"[rice,water,cinnamon,lemon,cow’s milk,sugar]"
Arroz con gandules,"[rice,pigeon pea,soffritto]"
Ezogelin soup,"[rice,bulgur,hot pepper,garlic,olive oil,paprika,lentils,tomato sauce,onions,peanut butter,tomato paste]"
Mujaddara,"[rice,bulgur,lentils]"
Indori Poha,"[rice,cumin,mustard seed,onions,chili peppers,curry leaves]"
Rice and curry,"[rice,cumin,spices,meats,kiribath,cardamom,coriander]"
Curd rice,"[rice,yogurt,tadka]"
California roll,"[rice,avocado,sea cucumber,crab meat,crab stick]"
Chireta,"[rice,pancetta,bacon]"
Banana leaf rice,"[rice,curry,banana leaf]"
Arroz a la valenciana,"[rice,tomato sauce,chorizo,chicken,onions,peanut butter,bell peppers]"
Bánh cuốn,"[rice,shallots,auricularia auricula-judae]"
Pohay,"[rice,cumin,mustard seed,onions,chili peppers,curry leaves]"
Kombdi vade,"[rice,chicken,onions,solkadhi]"
Paprykarz szczeciński,"[rice,fish,vegetable oil,tomato paste]"
Mandi (food),"[rice,spices,chicken,meats]"
Meatball soup,"[rice,spices,ground meat,meatball]"
Barley gruel,"[rice,barley,alkali]"
Jeera rice,"[rice,cumin,onions]"
Ghapama,"[rice,prunes,european cornel,apple,apricot jam,raisins,dried fruits,pumpkin]"
Red beans and rice,"[rice,pork,onions,celery,kidney bean,bell peppers]"
Risotto,"[rice,broth,onions,peanut butter]"
Glorified rice,"[rice,pineapple,whipped cream]"
Arisa Pitha,"[rice,cinnamon,sugar]"
Nam khao,"[rice,scallions,peanut oil,coconut milk,som moo,lamiaceae,fish sauce,cilantro,lime (fruit)]"
Rice and gravy,"[rice,meats,brown gravy]"
Dakjuk,"[rice,garlic,scallions,chicken]"
Injera,"[rice,maize,teff,barley]"
Arroz junto,"[rice,annatto,legume,soffritto]"
Meghli,"[rice,cinnamon,pistachios,coconut milk,caraway,almond meal,anise seed,sugar]"
Ciorbă de perișoare,"[rice,spices,ciorbă,meatball]"
Ba-wan,"[rice,pork,chicken,sweet potato,shiitake,bamboo shoot,corn starch]"
Bisque (food),"[rice,crayfish,popcorn,crustacean,crab,dried shrimp]"
Claypot chicken rice,"[rice,chicken,chinese sausage]"
Chimichanga,"[rice,corn tortilla,cheddar cheese,machaca,adobada,jalapeño]"
Diyabath,"[rice,garlic,onions,coconut milk]"
Bhoonja,"[rice,peanut oil,pulse (legume)]"
Jollof rice,"[rice,tomato sauce,onions,tomato paste]"
Trail mix,"[grain,nut (fruit),dried fruits,white chocolate]"
